,MCP2_Flexion,PIP2_Flexion,DIP2_Flexion,MCP3_Flexion,PIP3_Flexion,DIP3_Flexion,MCP4_Flexion,PIP4_Flexion,DIP4_Flexion,MCP5_Flexion,PIP5_Flexion,DIP5_Flexion
270,22.920015870839848,12.244222107005726,7.961566540624119,19.718224344902495,15.450404132097361,3.705757924147491,13.904169469452228,14.650295422549732,1.46415146704706,8.05849310688032,3.987217106850551,13.579489782115019
271,24.068855159413033,10.195877402023768,8.292177841713709,18.958892704743164,13.862764832908596,4.089920316145992,11.327489299543771,9.574635918049694,2.59206919402493,7.301109873231951,4.499650075052102,13.146334578957152
272,27.4405953517404,8.522622099732132,9.467621391867027,17.91618720829689,11.156598373753098,5.731725669148091,7.744113656563371,2.178512524565008,6.118477042505191,6.413485873073029,2.8933416225384008,9.361321935232581
273,32.4574874412954,7.612288693229942,10.310912797122427,16.681598308254365,7.901839303797146,6.59708111503042,4.769136361973523,4.502334025461096,10.484708194868631,5.5119331038960695,0.6128884037800617,4.688452378976336
274,38.432625945999064,7.034862962515973,9.019833475847548,15.857446904238742,3.8695134122966692,5.994999309603685,3.849481791575073,9.161911034576917,13.869289661533344,5.185398442243411,0.8368121141852498,4.887030152068036
275,45.192256261511915,7.221490537012642,5.300333652790101,16.594311006733818,3.0052355323122697,4.458465750141329,5.582375666620976,11.45927177394654,14.381614274429438,5.7656042567597865,0.8753950368552808,6.033171664109517
276,51.709982399711606,13.603341343296137,1.340087625538132,19.34833035685105,7.490147125628596,3.406012281985511,9.048035750271197,10.845684767063943,10.00351303298359,7.437153742895418,1.4519538050387837,6.401645605623173
277,55.568473797971905,28.18070698683985,5.289357147270607,23.12653562531429,11.315602737228232,3.211353519738765,12.175856102454844,8.687610359066525,1.4880206620789522,10.147031986229365,4.556742474734449,5.068572384778548
278,54.72287796165605,46.219401547950156,5.638989979932376,26.435058962040756,14.815281376959717,3.884714277673737,13.762124441346202,7.183984059805368,6.54870377788933,12.97450772986474,7.466587760431764,1.7078546464579176
279,49.963809697176856,62.765791885893265,4.9368617106894135,28.98616383912048,17.450784879502635,8.200917205716621,14.903221685896767,6.165465395666331,9.396439696182085,15.25675006803283,7.710419535584947,2.4644716647214295
280,45.21497924658564,75.35800545791096,5.925736976348674,31.89358640639074,17.478078588697002,11.746891452181472,17.371759838436816,4.5918811783035665,7.029336203677332,17.465575748558678,5.595661433351609,3.5141383010192158
281,44.25638454876017,85.68649426761057,10.210725640264798,36.04292906284968,15.084791077669706,11.805898089898818,21.686431487639766,2.801794456272461,2.6156658825160264,19.926025692845712,4.239869790049909,3.07344260832096
282,47.38392925972104,98.3543667482147,16.72056900589442,40.93861804569963,11.95982847708018,9.506014404277664,27.17411373306041,1.9308143606672274,0.919553690527863,22.250993462880132,5.358592416824337,3.0623354625284946
283,50.86288325786103,113.33535591806269,19.32074865839604,45.549377569050904,9.279712152115764,6.6646698306903716,32.93786191353689,4.817406403336378,2.03209876814347,24.250407525316234,7.4147098354519585,3.459913053539964
284,51.85524506659661,124.2855299817085,18.578831351469546,49.19463904224432,8.160126046612845,3.7839817239035938,37.98886975536098,9.912744701284879,1.2733967066853609,26.48252693990662,7.319524787606923,3.6568815241324444
285,50.938741630939774,129.0818400528132,19.419070380681916,51.13663742657374,8.767151068884829,1.2344768079813377,41.281472890937124,14.271423234372321,4.033588761532627,29.2951441026579,4.95645468222753,3.7052125940064116
286,49.049546069208475,130.43875009514718,22.51912696273132,51.24587089003933,10.698185723810383,1.0231714035092239,42.6031222802805,15.766138713047894,6.582978362460352,31.962732897777215,3.593476234733913,4.217588882083703
287,46.33680928510256,132.19577374057144,24.150234229039,50.62760715308079,12.459566080177694,2.162040319391622,42.26730433473486,13.570540543010736,5.449922680222642,33.59605641427754,3.5092967563159334,4.913446422371578
288,43.93266183992651,135.42900558386046,21.260344842626267,50.06796944912102,12.623932230845611,2.289302593115508,40.55384321697588,8.555084893370292,2.15396140550331,33.629281450846975,3.6115154649939996,4.347631384440888
289,43.1653790074142,137.89959364972003,16.08381299567327,49.17913035849489,11.20494669871249,2.1638034547125358,38.297056175174106,3.613548562834467,0.8983499807249586,31.77139071931404,6.444750926030025,2.7865544416256114
